PR_Number,Author,Score,Mesa_Triggered,Trust_Delta,Unlinked_PR,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Violation_Reasons,Time_Saved_Hours,Operational_Savings_USD,Timestamp,PR_State,Is_Bot,Repo_Slug
86618,s-hertel,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:33Z,Open,FALSE,ansible/ansible
86559,bcoca,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:34Z,Open,FALSE,ansible/ansible
86617,Shrews,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:34Z,Open,FALSE,ansible/ansible
86558,JonathanKash,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:35Z,Closed,FALSE,ansible/ansible
86616,Shrews,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:36Z,Open,FALSE,ansible/ansible
86557,bcoca,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:37Z,Open,FALSE,ansible/ansible
86615,Shrews,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:38Z,Open,FALSE,ansible/ansible
86556,yashx007,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:39Z,Closed,FALSE,ansible/ansible
86614,sivel,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:40Z,Open,FALSE,ansible/ansible
86555,veeceey,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:41Z,Open,FALSE,ansible/ansible
86613,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:42Z,Open,FALSE,ansible/ansible
86554,russoz,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:43Z,Merged,FALSE,ansible/ansible
86612,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:44Z,Open,FALSE,ansible/ansible
86553,veeceey,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:44Z,Merged,FALSE,ansible/ansible
86611,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:45Z,Open,FALSE,ansible/ansible
86551,s-hertel,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:46Z,Open,FALSE,ansible/ansible
86608,pkingstonxyz,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:47Z,Open,FALSE,ansible/ansible
86550,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:48Z,Open,FALSE,ansible/ansible
86606,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:49Z,Open,FALSE,ansible/ansible
86549,monica-sieklucki,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:50Z,Open,FALSE,ansible/ansible
86605,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:51Z,Open,FALSE,ansible/ansible
86546,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:52Z,Merged,FALSE,ansible/ansible
86604,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:53Z,Merged,FALSE,ansible/ansible
86543,BasavarajBankolli,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:54Z,Open,FALSE,ansible/ansible
86603,NickMrshll,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:55Z,Open,FALSE,ansible/ansible
86542,pkingstonxyz,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:41:55Z,Merged,FALSE,ansible/ansible
86602,NickMrshll,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:56Z,Open,FALSE,ansible/ansible
86540,Isakofff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:58Z,Closed,FALSE,ansible/ansible
86601,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:41:59Z,Merged,FALSE,ansible/ansible
86539,thadguidry,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:01Z,Merged,FALSE,ansible/ansible
86600,haosenwang1018,100,FALSE,0,1,0,16,0,,Structural Clone x16 | Unlinked PR,0.2000,20.00,2026-03-10T22:42:02Z,Closed,FALSE,ansible/ansible
86538,kairosci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:03Z,Open,FALSE,ansible/ansible
86599,bcoca,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:03Z,Open,FALSE,ansible/ansible
86537,kairosci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:04Z,Closed,FALSE,ansible/ansible
86598,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:05Z,Merged,FALSE,ansible/ansible
86536,pkingstonxyz,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:06Z,Open,FALSE,ansible/ansible
86597,haosenwang1018,100,FALSE,0,1,0,16,0,,Structural Clone x16 | Unlinked PR,0.2000,20.00,2026-03-10T22:42:08Z,Closed,FALSE,ansible/ansible
86535,prabhu463,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:09Z,Open,FALSE,ansible/ansible
86595,DavidLBoyd1986,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:10Z,Open,FALSE,ansible/ansible
86534,prabhu463,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:10Z,Closed,FALSE,ansible/ansible
86594,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:11Z,Merged,FALSE,ansible/ansible
86532,prabhu463,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:12Z,Closed,FALSE,ansible/ansible
86593,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:13Z,Merged,FALSE,ansible/ansible
86531,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:14Z,Merged,FALSE,ansible/ansible
86592,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:15Z,Open,FALSE,ansible/ansible
86530,samdoran,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:16Z,Merged,FALSE,ansible/ansible
86591,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:17Z,Merged,FALSE,ansible/ansible
86529,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:17Z,Closed,FALSE,ansible/ansible
86590,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:18Z,Merged,FALSE,ansible/ansible
86527,ariel-anieli,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:19Z,Merged,FALSE,ansible/ansible
86589,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:20Z,Merged,FALSE,ansible/ansible
86526,pkingstonxyz,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:21Z,Open,FALSE,ansible/ansible
86588,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:22Z,Merged,FALSE,ansible/ansible
86524,BasavarajBankolli,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:22Z,Closed,FALSE,ansible/ansible
86587,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:23Z,Merged,FALSE,ansible/ansible
86523,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:24Z,Merged,FALSE,ansible/ansible
86586,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:25Z,Merged,FALSE,ansible/ansible
86522,Akasurde,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:26Z,Merged,FALSE,ansible/ansible
86585,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:27Z,Merged,FALSE,ansible/ansible
86521,mkrizek,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:27Z,Merged,FALSE,ansible/ansible
86584,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:28Z,Merged,FALSE,ansible/ansible
86520,s-hertel,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:29Z,Open,FALSE,ansible/ansible
86583,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:30Z,Merged,FALSE,ansible/ansible
86519,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:31Z,Merged,FALSE,ansible/ansible
86582,nitzmahone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:32Z,Merged,FALSE,ansible/ansible
86516,bcoca,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:33Z,Merged,FALSE,ansible/ansible
86581,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:34Z,Merged,FALSE,ansible/ansible
86514,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:35Z,Merged,FALSE,ansible/ansible
86577,NIK8H,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:42:35Z,Open,FALSE,ansible/ansible
86513,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:36Z,Merged,FALSE,ansible/ansible
86576,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:37Z,Open,FALSE,ansible/ansible
86512,jborean93,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:38Z,Merged,FALSE,ansible/ansible
86575,mattclay,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:39Z,Open,FALSE,ansible/ansible
86510,Shrews,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:40Z,Merged,FALSE,ansible/ansible
86573,Akasurde,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:41Z,Merged,FALSE,ansible/ansible
86509,Shrews,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:42:42Z,Merged,FALSE,ansible/ansible
65733,BrennanConroy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:14Z,Open,FALSE,dotnet/aspnetcore
65654,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:15Z,Merged,TRUE,dotnet/aspnetcore
65732,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:16Z,Open,FALSE,dotnet/aspnetcore
65651,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:16Z,Merged,TRUE,dotnet/aspnetcore
65731,vseanreesermsft,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:17Z,Merged,FALSE,dotnet/aspnetcore
65650,DeagleGross,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:18Z,Open,FALSE,dotnet/aspnetcore
65730,vseanreesermsft,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:19Z,Open,FALSE,dotnet/aspnetcore
65649,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:20Z,Merged,TRUE,dotnet/aspnetcore
65729,DeagleGross,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:21Z,Open,FALSE,dotnet/aspnetcore
65648,oroztocil,65,FALSE,0,0,0,0,0,,[line 1015] this code was generated | [line 1281] this code was generated | [line 1547] this code was generated | [line 1827] this code was generated | [line 2107] this code was generated | [line 2387] this code was generated | [line 2667] this code was generated | [line 2947] this code was generated | [line 3227] this code was generated | [line 3507] this code was generated | [line 3787] this code was generated | [line 4061] this code was generated | [line 4335] this code was generated,0.0000,0.00,2026-03-10T22:51:22Z,Open,FALSE,dotnet/aspnetcore
65728,baywet,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:23Z,Open,FALSE,dotnet/aspnetcore
65644,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:24Z,Merged,TRUE,dotnet/aspnetcore
65725,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:24Z,Closed,TRUE,dotnet/aspnetcore
65641,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:25Z,Merged,FALSE,dotnet/aspnetcore
65722,dariatiurina,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:26Z,Merged,FALSE,dotnet/aspnetcore
65640,BrennanConroy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:27Z,Open,FALSE,dotnet/aspnetcore
65721,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:27Z,Open,TRUE,dotnet/aspnetcore
65639,mattleibow,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:28Z,Open,FALSE,dotnet/aspnetcore
65719,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:29Z,Closed,TRUE,dotnet/aspnetcore
65638,app/copilot-swe-agent,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:30Z,Open,TRUE,dotnet/aspnetcore
65718,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:31Z,Merged,TRUE,dotnet/aspnetcore
65637,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:31Z,Merged,FALSE,dotnet/aspnetcore
65717,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:32Z,Merged,TRUE,dotnet/aspnetcore
65635,vseanreesermsft,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:33Z,Merged,FALSE,dotnet/aspnetcore
65716,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:34Z,Open,FALSE,dotnet/aspnetcore
65634,vseanreesermsft,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:34Z,Merged,FALSE,dotnet/aspnetcore
65715,lewing,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:35Z,Merged,FALSE,dotnet/aspnetcore
65631,ilonatommy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:36Z,Merged,FALSE,dotnet/aspnetcore
65714,kilifu,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:37Z,Open,FALSE,dotnet/aspnetcore
65630,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:38Z,Closed,FALSE,dotnet/aspnetcore
65713,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:38Z,Merged,TRUE,dotnet/aspnetcore
65629,ilonatommy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:39Z,Open,FALSE,dotnet/aspnetcore
65708,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:40Z,Merged,TRUE,dotnet/aspnetcore
65628,am11,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:41Z,Merged,FALSE,dotnet/aspnetcore
65707,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:41Z,Merged,TRUE,dotnet/aspnetcore
65627,ilonatommy,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:42Z,Closed,FALSE,dotnet/aspnetcore
65706,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:43Z,Merged,TRUE,dotnet/aspnetcore
65625,ilonatommy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:44Z,Merged,FALSE,dotnet/aspnetcore
65703,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:45Z,Closed,TRUE,dotnet/aspnetcore
65622,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:46Z,Merged,TRUE,dotnet/aspnetcore
65696,muharremtekin,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:47Z,Open,FALSE,dotnet/aspnetcore
65621,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:47Z,Merged,TRUE,dotnet/aspnetcore
65695,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:48Z,Merged,TRUE,dotnet/aspnetcore
65616,kklocker,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:49Z,Merged,FALSE,dotnet/aspnetcore
65694,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:50Z,Merged,TRUE,dotnet/aspnetcore
65615,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:51Z,Merged,TRUE,dotnet/aspnetcore
65692,app/copilot-swe-agent,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:52Z,Merged,TRUE,dotnet/aspnetcore
65614,KristofferStrube,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:52Z,Closed,FALSE,dotnet/aspnetcore
65691,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:53Z,Merged,TRUE,dotnet/aspnetcore
65611,martincostello,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:54Z,Open,FALSE,dotnet/aspnetcore
65690,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:55Z,Merged,TRUE,dotnet/aspnetcore
65609,ilonatommy,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:56Z,Closed,FALSE,dotnet/aspnetcore
65688,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:56Z,Merged,TRUE,dotnet/aspnetcore
65608,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:51:57Z,Closed,FALSE,dotnet/aspnetcore
65687,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:58Z,Merged,TRUE,dotnet/aspnetcore
65606,app/copilot-swe-agent,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:51:59Z,Merged,TRUE,dotnet/aspnetcore
65686,app/copilot-swe-agent,30,FALSE,0,0,0,6,0,,Structural Clone x6,0.0000,0.00,2026-03-10T22:52:00Z,Open,TRUE,dotnet/aspnetcore
65604,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:00Z,Merged,TRUE,dotnet/aspnetcore
65685,app/dependabot,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:01Z,Merged,TRUE,dotnet/aspnetcore
65603,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:02Z,Merged,TRUE,dotnet/aspnetcore
65684,app/dependabot,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:03Z,Merged,TRUE,dotnet/aspnetcore
65602,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:04Z,Merged,TRUE,dotnet/aspnetcore
65683,app/dependabot,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:05Z,Merged,TRUE,dotnet/aspnetcore
65601,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:06Z,Merged,TRUE,dotnet/aspnetcore
65682,app/dependabot,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:06Z,Merged,TRUE,dotnet/aspnetcore
65598,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:07Z,Open,FALSE,dotnet/aspnetcore
65679,ilonatommy,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:08Z,Merged,FALSE,dotnet/aspnetcore
65595,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:09Z,Open,FALSE,dotnet/aspnetcore
65678,app/dotnet-maestro,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:10Z,Closed,TRUE,dotnet/aspnetcore
65591,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:10Z,Open,FALSE,dotnet/aspnetcore
65676,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:11Z,Merged,FALSE,dotnet/aspnetcore
65590,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:12Z,Open,FALSE,dotnet/aspnetcore
65675,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:13Z,Merged,FALSE,dotnet/aspnetcore
65589,kubaflo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:13Z,Open,FALSE,dotnet/aspnetcore
65674,app/copilot-swe-agent,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:14Z,Merged,TRUE,dotnet/aspnetcore
65588,martincostello,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:15Z,Merged,FALSE,dotnet/aspnetcore
65672,app/github-actions,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:15Z,Merged,TRUE,dotnet/aspnetcore
65587,app/dependabot,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-10T22:52:16Z,Merged,TRUE,dotnet/aspnetcore
65671,wtgodbe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-10T22:52:17Z,Merged,FALSE,dotnet/aspnetcore
