PR_Number,Author,Score,Mesa_Triggered,Trust_Delta,Unlinked_PR,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Violation_Reasons,Time_Saved_Hours,Operational_Savings_USD,Timestamp
497432,pancaek,50,FALSE,0,0,0,0,0,,Language Antipattern x1,0.0000,0.00,2026-03-08T08:31:10Z
497431,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:11Z
497430,tomodachi94,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:12Z
497429,al3xtjames,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:13Z
497428,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:14Z
497427,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:14Z
497426,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:15Z
497425,commitmaniac,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:16Z
497424,alexfmpe,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:17Z
497423,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:18Z
497422,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:19Z
497421,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:19Z
497420,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:20Z
497419,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:21Z
497418,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:22Z
497417,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:22Z
497416,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:23Z
497415,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:24Z
497414,ser,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:26Z
497413,n0099,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:28Z
497412,Wulfsta,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:29Z
497411,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:29Z
497410,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:30Z
497409,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:31Z
497408,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:32Z
497407,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:33Z
497406,eprovst,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-08T08:31:34Z
497405,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:34Z
497404,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:35Z
497403,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:36Z
497401,Aridor2006,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:37Z
497400,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:38Z
497399,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:39Z
497397,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:40Z
497396,ElvishJerricco,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:41Z
497395,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:41Z
497394,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:42Z
497393,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:43Z
497392,jchan-legendpower,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:44Z
497391,GaetanLepage,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:44Z
497390,aduh95,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:45Z
497389,aduh95,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:46Z
497388,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:47Z
497387,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:48Z
497386,Zocker1999NET,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:48Z
497385,tobim,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:49Z
497384,r-vdp,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:50Z
497383,pancaek,0,FALSE,0,0,0,0,0,,,0.0000,0.00,2026-03-08T08:31:50Z
497382,NickCao,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:51Z
497381,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:52Z
497380,apraga,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:53Z
497378,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:53Z
497377,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:54Z
497376,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:55Z
497375,pbsds,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:56Z
497374,thunze,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:57Z
497373,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:58Z
497371,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:58Z
497370,trofi,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:31:59Z
497369,pbsds,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:00Z
497368,pbsds,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:01Z
497367,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:02Z
497366,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:02Z
497365,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:03Z
497363,thunze,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:04Z
497362,thunze,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:05Z
497361,guylamar2006,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:06Z
497360,dwoffinden,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:09Z
497359,emilazy,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:09Z
497358,Hythera,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:10Z
497357,quantenzitrone,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:11Z
497356,isabelroses,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:12Z
497355,vbgl,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:13Z
497354,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:14Z
497353,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:15Z
497352,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:16Z
497351,aduarterengifo,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:16Z
497350,thunze,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:17Z
497349,app/nixpkgs-ci,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:18Z
497348,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:19Z
497347,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:20Z
497346,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:21Z
497345,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:21Z
497344,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:22Z
497343,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:23Z
497342,vancluever,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:24Z
497341,artemist,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:25Z
497340,schoettl,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:26Z
497339,artemist,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:27Z
497338,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:28Z
497337,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:29Z
497336,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:30Z
497335,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:30Z
497334,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:31Z
497333,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:32Z
497332,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:32Z
497331,symphorien,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:33Z
497330,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:34Z
497329,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:35Z
497328,app/nixpkgs-ci,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:35Z
497327,ZZBaron,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:37Z
497326,amadejkastelic,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:37Z
497325,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:38Z
497324,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:39Z
497323,app/nixpkgs-ci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:39Z
497322,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:40Z
497321,supermarin,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:41Z
497320,ricardomaps,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:42Z
497319,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:43Z
497318,eprovst,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:44Z
497317,wegank,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:44Z
497316,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:45Z
497315,app/nixpkgs-ci,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:46Z
497314,wegank,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:47Z
497313,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:48Z
497312,wegank,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:49Z
497311,kachick,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:50Z
497310,robertjakub,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:51Z
497309,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:53Z
497308,K900,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:54Z
497307,domenkozar,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:54Z
497306,thunze,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:55Z
497305,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:56Z
497304,app/nixpkgs-ci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:57Z
497303,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:58Z
497302,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:58Z
497301,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:32:59Z
497300,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:00Z
497299,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:01Z
497298,Hythera,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:01Z
497297,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:02Z
497296,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:03Z
497295,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:03Z
497294,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:04Z
497293,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:05Z
497292,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:05Z
497290,fabaff,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:06Z
497285,app/nixpkgs-ci,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:07Z
497284,fabaff,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:08Z
497283,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:09Z
497282,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:10Z
497281,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:11Z
497280,philipmw,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:12Z
497278,kpbaks,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:13Z
497276,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:14Z
497275,kpbaks,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:15Z
497274,iamkaran,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:15Z
497273,kpbaks,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:16Z
497272,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:17Z
497271,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:18Z
497270,theobori,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:19Z
497269,r-ryantm,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:20Z
497268,paperdigits,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:21Z
497267,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:22Z
497266,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:23Z
497265,guylamar2006,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:24Z
497264,SuperSandro2000,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:25Z
497263,r-ryantm,70,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:26Z
497262,marcin-serwin,20,FALSE,0,1,0,0,0,,Unlinked PR,0.0000,0.00,2026-03-08T08:33:27Z
