PR_Number,Author,Score,Dead_Code_Count,Logic_Clones,Zombie_Syms,Zombie_Deps,Antipatterns,Comment_Violations,Timestamp
116910,ryevdokimov,20,0,0,0,,,,2026-03-03T19:32:15Z
116908,Calinou,70,0,0,0,,,,2026-03-03T19:32:16Z
116907,Calinou,20,0,0,0,,,,2026-03-03T19:32:17Z
116906,Calinou,20,0,0,0,,,,2026-03-03T19:32:18Z
116905,KoBeWi,0,0,0,0,,,,2026-03-03T19:32:19Z
116900,IceflowRE,20,0,0,0,,,,2026-03-03T19:32:21Z
116899,dalexeev,70,0,0,0,,,,2026-03-03T19:32:21Z
116897,Sauroniux,0,0,0,0,,,,2026-03-03T19:32:22Z
116896,Mrfanta-stick,0,0,0,0,,,,2026-03-03T19:32:23Z
116888,Chaosus,20,0,0,0,,,,2026-03-03T19:32:24Z
116886,Sauroniux,0,0,0,0,,,,2026-03-03T19:32:25Z
116885,Scrawach,20,0,0,0,,,,2026-03-03T19:32:27Z
116879,arkology,20,0,0,0,,,,2026-03-03T19:32:28Z
116877,kleonc,20,0,0,0,,,,2026-03-03T19:32:29Z
116872,migueldeicaza,20,0,0,0,,,,2026-03-03T19:32:30Z
116871,ogapo,0,0,0,0,,,,2026-03-03T19:32:31Z
116870,Hippocrates,0,0,0,0,,,,2026-03-03T19:32:32Z
116869,mooflu,20,0,0,0,,,,2026-03-03T19:32:32Z
116868,ismailivanov,20,0,0,0,,,,2026-03-03T19:32:33Z
116866,migueldeicaza,25,0,1,0,,,,2026-03-03T19:32:34Z
116864,migueldeicaza,20,0,0,0,,,,2026-03-03T19:32:35Z
116861,nikitalita,70,0,0,0,,,,2026-03-03T19:32:36Z
116858,Sauroniux,0,0,0,0,,,,2026-03-03T19:32:37Z
116855,Repiteo,20,0,0,0,,,,2026-03-03T19:32:38Z
116854,Sauroniux,0,0,0,0,,,,2026-03-03T19:32:38Z
116853,migueldeicaza,20,0,0,0,,,,2026-03-03T19:32:39Z
116852,Chaosus,20,0,0,0,,,,2026-03-03T19:32:40Z
116850,Anyone4551,0,0,0,0,,,,2026-03-03T19:32:41Z
116849,aaronfranke,20,0,0,0,,,,2026-03-03T19:32:42Z
116848,billuo,0,0,0,0,,,,2026-03-03T19:32:43Z
116846,YeldhamDev,0,0,0,0,,,,2026-03-03T19:32:44Z
116843,Mrfanta-stick,0,0,0,0,,,,2026-03-03T19:32:44Z
116833,TitanNano,70,0,0,0,,,,2026-03-03T19:32:45Z
116828,ryevdokimov,20,0,0,0,,,,2026-03-03T19:32:46Z
116825,kitbdev,70,0,0,0,,,,2026-03-03T19:32:47Z
116818,Goldenlion5648,20,0,0,0,,,,2026-03-03T19:32:48Z
116814,YeldhamDev,20,0,0,0,,,,2026-03-03T19:32:49Z
116813,KoBeWi,0,0,0,0,,,,2026-03-03T19:32:50Z
116811,zhehangd,65,3,3,0,,,,2026-03-03T19:32:51Z
116810,zacharyhevey-cloud,20,0,0,0,,,,2026-03-03T19:32:52Z
116809,KoBeWi,20,0,0,0,,,,2026-03-03T19:32:53Z
116808,Chaosus,20,0,0,0,,,,2026-03-03T19:32:54Z
116805,Changryy,20,0,0,0,,,,2026-03-03T19:32:54Z
116804,Geometror,20,0,0,0,,,,2026-03-03T19:32:55Z
116803,retrotails,20,0,0,0,,,,2026-03-03T19:32:56Z
116801,Ardot66,20,0,0,0,,,,2026-03-03T19:32:57Z
116798,bruvzg,20,0,0,0,,,,2026-03-03T19:32:58Z
116796,zhehangd,20,0,0,0,,,,2026-03-03T19:32:59Z
116791,ismailivanov,70,0,0,0,,,,2026-03-03T19:33:00Z
116789,aaronfranke,20,0,0,0,,,,2026-03-03T19:33:00Z
116786,jaydensipe,20,0,0,0,,,,2026-03-03T19:33:01Z
116785,cengiz-pz,70,0,0,0,,,,2026-03-03T19:33:02Z
116783,mooflu,20,0,0,0,,,,2026-03-03T19:33:03Z
116781,adamwych,20,0,0,0,,,,2026-03-03T19:33:04Z
116779,MaxiSanc37,0,0,0,0,,,,2026-03-03T19:33:05Z
116777,Jordyfel,170,0,0,0,,Hallucinated Security Fix: PR body claims 'RCE' but only non-code files changed (xml). A real security fix requires modifying source code.,,2026-03-03T19:33:06Z
116774,markdibarry,70,0,0,0,,,,2026-03-03T19:33:07Z
116772,Repiteo,20,0,0,0,,,,2026-03-03T19:33:07Z
116770,DexterFstone,20,0,0,0,,,,2026-03-03T19:33:08Z
116763,Kazox61,70,0,0,0,,,,2026-03-03T19:33:09Z
116760,dalexeev,20,0,0,0,,,,2026-03-03T19:33:10Z
116759,Lakamfo,20,0,0,0,,,,2026-03-03T19:33:11Z
116755,GabCoolDude,70,0,0,0,,,,2026-03-03T19:33:12Z
116752,BastiaanOlij,20,0,0,0,,,,2026-03-03T19:33:13Z
116751,bruvzg,70,0,0,0,,,,2026-03-03T19:33:14Z
116749,Jesusemora,20,0,0,0,,,,2026-03-03T19:33:15Z
116747,xuhuisheng,20,0,0,0,,,,2026-03-03T19:33:16Z
116746,fejesievo,0,0,0,0,,,,2026-03-03T19:33:16Z
116736,YeldhamDev,35,0,3,0,,,,2026-03-03T19:33:17Z
116735,BuzzLord,20,0,0,0,,,,2026-03-03T19:33:18Z
116734,kitbdev,70,0,0,0,,,,2026-03-03T19:33:19Z
116725,BrotherShort,0,0,0,0,,,,2026-03-03T19:33:20Z
116718,blueskythlikesclouds,20,0,0,0,,,,2026-03-03T19:33:21Z
116716,Kazox61,20,0,0,0,,,,2026-03-03T19:33:29Z
116715,BrotherShort,0,0,0,0,,,,2026-03-03T19:33:30Z
116708,SasaSuppenknecht,70,0,0,0,,,,2026-03-03T19:33:30Z
116707,Moddingear,70,0,0,0,,,,2026-03-03T19:33:32Z
116704,miguelrsgoncalves,20,0,0,0,,,,2026-03-03T19:33:32Z
116702,ryevdokimov,70,0,0,0,,,,2026-03-03T19:33:33Z
116699,Calinou,20,0,0,0,,,,2026-03-03T19:33:34Z
116698,Grublady,0,0,0,0,,,,2026-03-03T19:33:35Z
116696,sblana,50,0,0,0,,,,2026-03-03T19:33:36Z
116692,deralmas,20,0,0,0,,,,2026-03-03T19:33:37Z
116691,DexterFstone,20,0,0,0,,,,2026-03-03T19:33:38Z
116688,YeldhamDev,20,0,0,0,,,,2026-03-03T19:33:38Z
116687,SyraLessThanThree,20,0,0,0,,,,2026-03-03T19:33:39Z
116686,erodozer,125,8,5,0,,,,2026-03-03T19:33:40Z
116685,YeldhamDev,20,0,0,0,,,,2026-03-03T19:33:42Z
116675,AR-DEV-1,50,0,0,0,,,,2026-03-03T19:33:43Z
116673,adamscott,1635,3,7,0,,Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership,,2026-03-03T19:33:45Z
116671,AR-DEV-1,70,0,0,0,,,,2026-03-03T19:33:46Z
116670,migueldeicaza,20,0,0,0,,,,2026-03-03T19:33:46Z
116668,Hrothdel,0,0,0,0,,,,2026-03-03T19:33:47Z
116667,TokageItLab,20,0,0,0,,,,2026-03-03T19:33:48Z
116666,lawnjelly,20,0,0,0,,,,2026-03-03T19:33:49Z
116664,KoBeWi,20,0,0,0,,,,2026-03-03T19:33:50Z
116660,arkology,20,0,0,0,,,,2026-03-03T19:33:51Z
116659,TrueJole,0,0,0,0,,,,2026-03-03T19:33:51Z
116656,adamwych,20,0,0,0,,,,2026-03-03T19:33:52Z
116651,Meorge,20,0,0,0,,,,2026-03-03T19:33:53Z
116648,gongpha,0,0,0,0,,,,2026-03-03T19:33:54Z
116646,Repiteo,20,0,0,0,,,,2026-03-03T19:33:55Z
116645,TokageItLab,70,0,0,0,,,,2026-03-03T19:33:55Z
116641,Scrawach,20,0,0,0,,,,2026-03-03T19:33:56Z
116640,StarryWorm,70,0,0,0,,,,2026-03-03T19:33:57Z
116634,mooflu,20,0,0,0,,,,2026-03-03T19:33:58Z
116633,jaypaik,0,0,0,0,,,,2026-03-03T19:33:59Z
116630,KoBeWi,20,0,0,0,,,,2026-03-03T19:34:00Z
116626,Paperzlel,20,0,0,0,,,,2026-03-03T19:34:01Z
116625,Goldenlion5648,20,0,0,0,,,,2026-03-03T19:34:02Z
116623,tvenclovas96,20,0,0,0,,,,2026-03-03T19:34:03Z
116622,MattiaZir,0,0,0,0,,,,2026-03-03T19:34:03Z
116621,YashwanthCB,20,0,0,0,,,,2026-03-03T19:34:04Z
116620,QbieShay,70,0,0,0,,,,2026-03-03T19:34:05Z
116619,arkology,20,0,0,0,,,,2026-03-03T19:34:06Z
116613,ColinSORourke,20,0,0,0,,,,2026-03-03T19:34:07Z
116612,zedzee37,20,0,0,0,,,,2026-03-03T19:34:08Z
116611,Raftatul,70,0,0,0,,,,2026-03-03T19:34:09Z
116609,mooflu,0,0,0,0,,,,2026-03-03T19:34:09Z
116604,SheepYhangCN,0,0,0,0,,,,2026-03-03T19:34:10Z
116602,KoBeWi,0,0,0,0,,,,2026-03-03T19:34:11Z
116600,TitanNano,70,0,0,0,,,,2026-03-03T19:34:12Z
116596,Ivorforce,70,0,0,0,,,,2026-03-03T19:34:12Z
116594,Ret44,20,0,0,0,,,,2026-03-03T19:34:13Z
116591,Sysex89,20,0,0,0,,,,2026-03-03T19:34:14Z
116589,Sysex89,20,0,0,0,,,,2026-03-03T19:34:15Z
116585,jinyangcruise,50,0,0,0,,,,2026-03-03T19:34:16Z
116582,TrueJole,20,0,0,0,,,,2026-03-03T19:34:16Z
116579,Giganzo,20,0,0,0,,,,2026-03-03T19:34:17Z
116578,MrLawrenceKwan,170,0,0,0,,Hallucinated Security Fix: PR body claims 'RCE' but only non-code files changed (xml). A real security fix requires modifying source code.,,2026-03-03T19:34:18Z
116575,KoBeWi,0,0,0,0,,,,2026-03-03T19:34:19Z
116573,MrLawrenceKwan,70,0,0,0,,,,2026-03-03T19:34:20Z
116572,MrLawrenceKwan,70,0,0,0,,,,2026-03-03T19:34:20Z
116571,MrLawrenceKwan,70,0,0,0,,,,2026-03-03T19:34:21Z
116570,blackears,70,0,0,0,,,,2026-03-03T19:34:22Z
116566,caleb-cardin,0,0,0,0,,,,2026-03-03T19:34:23Z
116565,YeldhamDev,20,0,0,0,,,,2026-03-03T19:34:24Z
116562,Repiteo,70,0,0,0,,,,2026-03-03T19:34:24Z
116560,TheDying0fLight,40,0,4,0,,,,2026-03-03T19:34:26Z
116558,pafuent,20,0,0,0,,,,2026-03-03T19:34:27Z
116556,dalexeev,70,0,0,0,,,,2026-03-03T19:34:27Z
116540,blueskythlikesclouds,20,0,0,0,,,,2026-03-03T19:34:28Z
116536,SatLess,20,0,0,0,,,,2026-03-03T19:34:29Z
116533,DexterFstone,70,0,0,0,,,,2026-03-03T19:34:30Z
116524,bruvzg,20,0,0,0,,,,2026-03-03T19:34:31Z
116516,deralmas,20,0,0,0,,,,2026-03-03T19:34:32Z
116514,LucaTuerk,20,0,0,0,,,,2026-03-03T19:34:33Z
116513,deralmas,20,0,0,0,,,,2026-03-03T19:34:33Z
116511,deralmas,20,0,0,0,,,,2026-03-03T19:34:34Z
116510,ashtonmeuser,20,0,0,0,,,,2026-03-03T19:34:35Z
116509,kevinlam508,0,0,0,0,,,,2026-03-03T19:34:36Z
116507,Samvkes,70,0,0,0,,,,2026-03-03T19:34:37Z
116505,erayerdin,20,0,0,0,,,,2026-03-03T19:34:38Z
116503,oCHIKIo,0,0,0,0,,,,2026-03-03T19:34:39Z
116501,mooflu,0,0,0,0,,,,2026-03-03T19:34:40Z
116499,stuartcarnie,20,0,0,0,,,,2026-03-03T19:34:40Z
116496,YeldhamDev,20,0,0,0,,,,2026-03-03T19:34:42Z
116495,Jordyfel,20,0,0,0,,,,2026-03-03T19:34:43Z
116494,Jordyfel,0,0,0,0,,,,2026-03-03T19:34:44Z
116493,hsvfan-jan,20,0,0,0,,,,2026-03-03T19:34:45Z
116490,kitbdev,20,0,0,0,,,,2026-03-03T19:34:46Z
116485,Quatumus,70,0,0,0,,,,2026-03-03T19:34:46Z
116483,DexterFstone,20,0,0,0,,,,2026-03-03T19:34:47Z
116480,YeldhamDev,20,0,0,0,,,,2026-03-03T19:34:48Z
116476,HamidRezaLS,0,0,0,0,,,,2026-03-03T19:34:49Z
116474,celyk,0,0,0,0,,,,2026-03-03T19:34:50Z
116464,MuffinTastic,20,0,0,0,,,,2026-03-03T19:34:50Z
116461,AR-DEV-1,0,0,0,0,,,,2026-03-03T19:34:51Z
116457,YeldhamDev,20,0,0,0,,,,2026-03-03T19:34:53Z
116456,fire,70,0,0,0,,,,2026-03-03T19:34:54Z
116446,mooflu,70,0,0,0,,,,2026-03-03T19:34:55Z
116436,luzader,20,0,0,0,,,,2026-03-03T19:34:57Z
116429,lyuma,70,0,0,0,,,,2026-03-03T19:34:58Z
116428,Kazox61,70,0,0,0,,,,2026-03-03T19:35:00Z
116427,TokageItLab,20,0,0,0,,,,2026-03-03T19:35:01Z
116425,zvodd,20,0,0,0,,,,2026-03-03T19:35:02Z
116424,BastiaanOlij,30,0,2,0,,,,2026-03-03T19:35:03Z
116422,miguelrsgoncalves,0,0,0,0,,,,2026-03-03T19:35:05Z
116417,SheepYhangCN,70,0,0,0,,,,2026-03-03T19:35:06Z
116415,Arnklit,70,0,0,0,,,,2026-03-03T19:35:08Z
116412,YeldhamDev,0,0,0,0,,,,2026-03-03T19:35:10Z
116411,Rudolph-B,0,0,0,0,,,,2026-03-03T19:35:11Z
116405,lyuma,70,0,0,0,,,,2026-03-03T19:35:12Z
116401,Cykyrios,50,0,0,0,,,,2026-03-03T19:35:13Z
116398,glkdrlgkrlzflnjkgh,20,0,0,0,,,,2026-03-03T19:35:14Z
116394,Ryan-000,125,0,1,0,,Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership;Raw `new`: prefer std::make_unique<T>() or std::make_shared<T>() for exception-safe RAII ownership,,2026-03-03T19:35:16Z
116392,Christakou,20,0,0,0,,,,2026-03-03T19:35:17Z
116388,Ardot66,0,0,0,0,,,,2026-03-03T19:35:19Z
116383,Kaleb-Reid,20,0,0,0,,,,2026-03-03T19:35:20Z
116379,SheepYhangCN,0,0,0,0,,,,2026-03-03T19:35:21Z
116378,PureAsbestos,50,0,0,0,,,,2026-03-03T19:35:23Z
116373,Calinou,170,0,0,0,,Hallucinated Security Fix: PR body claims 'RCE' but only non-code files changed (xml). A real security fix requires modifying source code.,,2026-03-03T19:35:24Z
116368,ColinSORourke,20,0,0,0,,,,2026-03-03T19:35:26Z
